Timestamp (EST),baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.cooling_fans-pumps.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.heating_fans-pumps.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup-fa.energy_consumption.kwh,baseline.out.electricity.hot_water.energy_consumption.kwh,baseline.out.electricity.lighting_exterior.energy_consumption.kwh,baseline.out.electricity.lighting_garage.energy_consumption.kwh,baseline.out.electricity.lighting_interior.energy_consumption.kwh,baseline.out.electricity.mech_vent.energy_consumption.kwh,baseline.out.electricity.permanent_spa-heat.energy_consumption.kwh,baseline.out.electricity.permanent_spa-pump.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.range_oven.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,Total_Sum,Average kW
12:15 a.m.,16200.475414407478,28998.939948464715,614.2079925824501,1123836.426891646,225552.0167236416,2178.8118419741404,19748.40616833315,3003.0650181807964,84.51291021209482,0,0,153797.503917622,24054.438236543163,971.2555051984536,61722.43807549143,3573.348109336585,8985.218260100479,8488.940936718074,502660.4327608444,952.1863845679738,6596.678646241165,6238.271960281042,145413.5448789118,5972.736693661256,2349643.8572749603,0.8999559269883246
12:30 a.m.,16131.035492418869,24507.17318033734,518.7403079919382,1079511.5297024243,216731.85256784604,1846.8886893181452,19748.40616833315,3351.623801467909,97.966284690195,0,0,136405.798524093,24054.438236543163,970.734624395914,61497.686147958,3573.348109336585,8985.218260100479,8488.940936718074,502448.9714325381,952.1863845679738,6596.678646241165,5525.332639329668,145413.5448789118,5972.736693661256,2273330.8317092233,0.8707266633909267
12:45 a.m.,16031.034517093722,19897.05252735784,407.1253185226906,1058889.2971552557,212708.92735457968,1693.066077318088,19748.40616833316,3756.9423147067896,110.69530930226324,0,0,125177.3501165168,24054.43823654316,969.6196139279768,61147.613554838514,3573.348109336585,8985.218260100475,8488.940936718074,502132.9025893094,952.1863845679738,6596.678646241166,4987.4987944196255,145413.5448789118,5972.736693661258,2231694.623557563,0.8547792455780572
1:00 a.m.,15991.878930515268,16248.469697104436,331.5569083417102,1028829.1683755292,206676.18356471343,1592.2186706888435,19748.40616833316,4290.731194634608,126.17523565274512,0,0,117882.35750560807,24054.43823654316,969.3184797140084,61017.05152617688,3573.348109336585,8985.218260100475,8488.940936718074,502015.435829574,952.1863845679738,6596.678646241166,4707.899746131269,145413.5448789118,5972.736693661258,2184463.9439787986,0.8366890444222566
1:15 a.m.,15865.117703959624,13356.783644279238,319.55223359567384,1015362.5928245892,204425.473894464,1507.526707700877,19748.40616833315,12299.403753885828,312.92728088837,0,0,110533.54325802438,23939.323579181797,965.3630411197208,59162.251959670175,3426.508555595578,7611.435837214247,7187.064480869961,500832.8166612197,952.186384567974,6596.678646241166,4486.126605687374,140513.09014985364,4793.983437513513,2154198.1568084555,0.8250967026873235
1:30 a.m.,15823.943704271336,11379.894500914694,276.5632898610548,988565.5462486612,199045.41816646757,1354.1924214532,19748.40616833315,5665.03449832337,159.21861156386845,0,0,105078.64346971322,23939.323579181797,965.3223473070224,59151.57390321812,3426.508555595578,7611.435837214247,7187.064480869961,500777.554463575,952.1863845679738,6596.678646241166,4297.331731054291,140513.09014985364,4793.983437513513,2107308.9145957553,0.8071372781938384
1:45 a.m.,15780.775707760828,9542.06425430322,273.7228617347047,966924.3731865728,194816.41948569665,1219.5203177090234,19748.40616833316,6952.285597887657,193.70254844451625,0,0,100630.49233003597,23939.323579181782,965.2653759692448,59137.29037496096,3426.508555595579,7611.435837214247,7187.064480869959,500716.55443834007,952.1863845679738,6596.678646241167,4304.917057741278,140513.09014985364,4793.983437513513,2076226.0607765277,0.7952319852126426
2:00 a.m.,15761.739142180491,8428.176935596774,251.04013053660103,941439.1649118426,189694.793884623,1017.4022887984725,19748.40616833316,7196.082229763937,208.01049298928345,0,0,99387.54051497523,23939.323579181782,965.2735147317844,59132.83033308922,3426.5085555955784,7611.435837214247,7187.064480869959,500691.1126666413,952.1863845679736,6596.678646241166,4691.711747439836,140513.09014985367,4793.983437513514,2043633.5560325796,0.7827484687303918
2:15 a.m.,15725.090294464271,7216.836074240135,226.6726754927823,933597.214903217,188175.88918689176,901.848138260017,19748.40616833315,16149.250042983122,426.7071811931743,0,0,96557.00098511064,23932.22657824716,965.0537681432128,59046.90941695774,3193.1295397700906,8985.218260100477,8488.940936718076,500121.1062934119,1249.14541335348,8842.415532579123,5291.774570728307,137078.50794181987,3811.773157936612,2039731.1170599528,0.7812537643000792
2:30 a.m.,15705.321240255378,6492.852452522407,239.06801084072345,909785.5640919958,183434.65306939784,848.3520520866637,19748.406168333157,8651.903379050196,248.59850177469536,0,0,94180.03469158278,23932.22657824717,965.0537681432128,59046.90941695775,3193.1295397700906,8985.218260100475,8488.940936718074,500122.9700700334,1249.14541335348,8842.415532579125,6276.955498632171,137078.50794181987,3811.7731579366127,2001327.9997721317,0.7665446785333174
2:45 a.m.,15710.603297143634,5939.20499199776,299.9540934001111,892856.6450139983,180034.47341061823,816.5864618942709,19748.406168333157,10484.191128372138,297.64268483884064,0,0,102110.56699169056,23932.22657824716,965.0537681432128,59046.909416957744,3193.1295397700906,8985.218260100477,8488.940936718074,500118.2984203356,1249.1454133534796,8842.415532579123,9529.799139155914,137078.5079418199,3811.7731579366127,1993539.692347405,0.7635616164805777
3:00 a.m.,15709.227846274423,6188.389484675311,458.9448196128685,871707.8182529866,175735.94528147075,911.7692897958937,19748.406168333157,11035.063270870754,317.5500980109115,0,0,108126.87048122668,23932.22657824716,965.0537681432128,59046.90941695775,3193.1295397700906,8985.218260100475,8488.940936718074,500116.6381127775,1249.14541335348,8842.415532579125,14014.25729852265,137078.50794181984,3811.773157936613,1979664.200950184,0.7582470533036343
3:15 a.m.,15869.187085229452,6892.075032619062,578.5764901837063,819457.8335957968,165141.3925330608,1000.213222314657,19748.406168333157,20073.29743015474,545.2645351087738,0,0,109499.55417117012,24047.341235608532,965.0537681432128,59191.6898637762,3651.057014065502,14374.633565017377,13536.487521155485,500875.1219489008,2472.051456279013,17356.334331531503,17460.144247725195,133481.94808171652,3981.57216080208,1950199.235458693,0.746961440698783
3:30 a.m.,15871.522910078347,8087.594139598554,671.8304313634237,812148.8992846571,163595.1904257714,1200.9964941686992,19748.406168333157,13493.579965046269,395.6008307664961,0,0,118304.1488742273,24047.341235608532,965.0537681432128,59193.15484103336,3651.057014065503,14374.633565017371,13536.487521155485,500882.788663213,2472.0514562790136,17356.334331531507,20407.10877571993,133481.9480817165,3981.57216080208,1947867.3009382964,0.746068267766859
