Timestamp (EST),baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.cooling_fans-pumps.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.heating_fans-pumps.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup-fa.energy_consumption.kwh,baseline.out.electricity.hot_water.energy_consumption.kwh,baseline.out.electricity.lighting_exterior.energy_consumption.kwh,baseline.out.electricity.lighting_garage.energy_consumption.kwh,baseline.out.electricity.lighting_interior.energy_consumption.kwh,baseline.out.electricity.mech_vent.energy_consumption.kwh,baseline.out.electricity.permanent_spa-heat.energy_consumption.kwh,baseline.out.electricity.permanent_spa-pump.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.range_oven.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,Total_Sum,Average kW
12:15 a.m.,18239.09707163642,68923.36286896588,1408.9093220075065,123073.2765309458,22314.850992547425,6092.702053496229,15497.123555728544,1244194.880818521,42424.219418278,2488.565005472034,104.1517442203561,325479.56413312553,30694.846453910195,1057.1438662797668,74155.85469335534,3613.464069894691,5733.807041783704,7079.331681132141,530256.4128227175,1081.869426875323,7587.719483173662,11814.113759931995,113616.97855628142,12719.787116585638,2669652.032486866,1.022524823153158
12:30 a.m.,17987.300036183628,57974.635591116086,1260.848953885546,108118.36547437444,19126.21404969925,4750.970077491283,15497.123555728544,1302583.6166476558,44411.84358943236,2761.8890678422927,114.96815963559813,286767.96332876326,30694.846453910195,1049.2899604289698,72845.8964463053,3613.464069894691,5733.807041783704,7079.331681132141,527606.9688981235,1081.869426875323,7587.719483173662,10438.25595259815,113616.97855628142,12719.787116585638,2655423.9536189013,1.0170752126229337
12:45 a.m.,17518.53986894786,49349.37038185829,1074.520124301986,107035.29151064323,18887.780862336607,3815.15074439062,15497.123555728547,1337481.2793832475,45733.64373597756,3011.374694733816,126.83447541845972,254441.64495243656,30694.84645391019,1031.93811869436,70343.35718555262,3613.4640698946896,5733.807041783704,7079.331681132141,522706.7176381291,1081.869426875323,7587.719483173662,9262.84772785422,113616.9785562814,12719.787116585636,2639445.2187898885,1.0109550693209517
1:00 a.m.,17355.38209631477,42183.5073774042,799.5764481863285,101012.2572644868,17638.244788381202,3139.1125727941794,15497.123555728547,1381988.1348865686,47396.51500427342,3395.88239215872,143.72240768830724,227375.73435601016,30694.84645391019,1025.6061614384848,69485.04328811735,3613.4640698946896,5733.807041783704,7079.331681132141,521002.94094930857,1081.869426875323,7587.719483173662,8006.67042366646,113616.9785562814,12719.787116585636,2639573.257802163,1.01100411056932
1:15 a.m.,16667.06253204586,35976.79753825208,603.4404097424458,112425.21955760004,20164.964312639317,2684.31038331401,15359.871464259262,1368930.190325222,46747.83935233541,3296.4836852615394,137.87063742227332,201380.1198661277,30117.24661523118,971.4426967368748,61720.60685391964,3573.3481093365776,6928.202999532728,8488.940936718069,512993.6254278171,1081.869426875323,7587.719483173661,7231.966033801413,111976.00869797924,6786.40947856632,2583831.5568239093,0.9896540348885018
1:30 a.m.,16557.13226642231,29898.00462993616,499.174722846534,98638.47322711188,17174.489960107385,2342.213777483409,15359.871464259266,1420229.8198194148,48433.66193099318,3625.2815531022966,151.9018640406912,175716.31458622552,30117.246615231183,970.9380934594142,61495.1712703329,3573.3481093365785,6928.202999532728,8488.940936718069,511908.3539982002,1081.8694268753231,7587.719483173662,6381.750205093158,111976.00869797924,6786.409478566319,2585922.2991164415,0.9904548268519918
1:45 a.m.,16399.142608001916,24895.0340479286,412.545734374121,98795.90131091706,17209.73080190422,2063.8518211010824,15359.871464259262,1449653.708976364,49596.67482038919,3995.1069229056056,168.90373898609428,160478.5408375869,30117.246615231183,969.9695807171914,61150.39701162677,3573.3481093365785,6928.202999532726,8488.940936718069,510338.6796997464,1081.8694268753227,7587.719483173663,5623.282646494782,111976.00869797924,6786.409478566317,2593651.087770716,0.9934150921433968
2:00 a.m.,16336.921768386006,20180.550042902727,329.57918904456665,93520.43682031833,16135.406007903184,1877.140469678156,15359.87146425926,1488931.7595147262,51156.38727349451,4571.754526367409,194.01996018356397,151843.69630481984,30117.24661523118,969.7010015533824,61019.94078687817,3573.3481093365785,6928.202999532728,8488.940936718069,509721.84288686345,1081.8694268753227,7587.719483173661,5313.496927946728,111976.00869797924,6786.409478566318,2614002.250692738,1.001209954175816
2:15 a.m.,16147.728094388453,16331.51763005939,301.41907065725457,100433.5505541025,17596.452242739917,1700.2932984533293,15359.871464259262,1536760.784637886,52588.49206874011,6356.446792357278,251.2273220750138,142188.36489225185,29983.770909580293,965.3630411197296,59164.00179361585,3426.5085555955734,5818.328090758342,7187.064480869964,506887.52697118034,1081.869426875323,7587.719483173661,5128.315663881267,107667.45361338402,5455.013730986795,2646369.0838289917,1.0136070343667671
2:30 a.m.,16083.553951763024,13220.402400401725,280.1117903283577,89484.07451009906,15231.026714493306,1562.0157229040717,15359.871464259264,1560299.7624877384,53649.38790455068,6234.796708676595,254.15727658930064,132249.91034721583,29983.77090958029,965.3304860695708,59153.266765826,3426.508555595573,5818.328090758342,7187.064480869965,506330.23334503785,1081.8694268753231,7587.71948317366,5107.3827666291945,107667.453613384,5455.013730986796,2643673.012933806,1.0125743906432552
