Timestamp (EST),baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.cooling_fans-pumps.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.heating_fans-pumps.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup.energy_consumption.kwh,baseline.out.electricity.heating_hp-bkup-fa.energy_consumption.kwh,baseline.out.electricity.hot_water.energy_consumption.kwh,baseline.out.electricity.lighting_exterior.energy_consumption.kwh,baseline.out.electricity.lighting_garage.energy_consumption.kwh,baseline.out.electricity.lighting_interior.energy_consumption.kwh,baseline.out.electricity.mech_vent.energy_consumption.kwh,baseline.out.electricity.permanent_spa-heat.energy_consumption.kwh,baseline.out.electricity.permanent_spa-pump.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.range_oven.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,Total_Sum,Average kW
12:15 a.m.,20861.276141722763,147756.98760953025,3622.2946272502304,87198.56349123156,8299.698430145298,16611.87358326393,26479.56158801732,2210841.819867651,77254.51761632702,14774.230528190874,429.5231930319056,516008.8172021817,53646.79163929932,2505.7133781431926,174492.5376957075,4838.13622429134,3905.3770659055735,8089.799744246801,794080.9359729444,447.0785038300072,4357.501602510185,21489.4583895851,137369.6640329038,24947.33373600863,4360309.4918639185,1.3899767607803555
12:30 a.m.,20300.60492912638,129823.3952673466,2964.35706354205,80075.39643506115,6474.857648547157,13924.926240887064,26479.561588017325,2298681.156272391,80302.82601546575,15443.570498217156,450.54561667191314,475654.78970102326,53646.79163929933,2395.33548057998,166887.23848544803,4838.13622429134,3905.3770659055726,8089.7997442468,786279.7204708299,447.0785038300074,4357.501602510185,18183.56629482769,137369.66403290376,24947.33373600863,4361923.530556978,1.3904912830358374
12:45 a.m.,19023.006401934195,110839.1375138646,2467.18447628028,80008.39000307195,6325.576466044246,11579.953422902709,26479.561588017325,2345314.149546529,82099.44156857619,16058.958611367863,471.3157386731906,423580.2035153263,53646.79163929933,2145.9963514141755,149053.22390293694,4838.136224291343,3905.377065905574,8089.799744246801,768487.319381184,447.0785038300072,4357.501602510186,15482.840027471138,137369.66403290376,24947.33373600864,4297017.94106459,1.36980071939408
1:00 a.m.,18594.907492346752,93128.01824570308,2116.843303996976,77860.40779359828,5765.515660638322,9621.116054851189,26479.561588017325,2401909.5660213814,84225.55492310584,16823.456993008138,495.4390308408185,374572.43327478366,53646.79163929933,2064.6494198300197,143090.20489174797,4838.13622429134,3905.377065905573,8089.7997442468,762559.0610248019,447.0785038300073,4357.501602510184,13177.030934827735,137369.6640329038,24947.33373600863,4270085.449202475,1.3612151963095152
1:15 a.m.,16121.43989138566,77842.04674530437,1776.756972513674,81600.84469787458,6617.318548041815,7673.225322415544,23259.68807454233,2388312.819102383,83697.8375600326,16025.524574854828,469.20779917541216,320852.4497439638,39561.34458484363,1355.6329824227578,94388.41142888606,4427.389156438485,3905.377065905573,8089.7997442468,739796.0897668207,447.0785038300072,4357.501602510184,11362.070610952776,132965.99123050665,16969.808220996747,4081875.653930847,1.3012177942748808
1:30 a.m.,15928.722133208405,64854.77105908944,1560.005448556768,75951.21687703914,5172.907943836201,5944.397522498076,23259.688074542337,2467883.2622931907,86393.71312491549,16710.084030830323,489.245432548118,279923.50005700166,39561.34458484363,1347.2337794818022,92847.4344071471,4427.389156438484,3905.3770659055735,8089.7997442468,736205.5200359494,447.0785038300072,4357.501602510184,10118.49211117645,132965.99123050665,16969.808220996747,4095314.4844402885,1.3055018163460308
1:45 a.m.,15569.908509121204,55056.522976324566,1348.2592635617696,75984.3253630506,5160.74049383937,4808.698320185273,23259.688074542337,2503527.306525007,87756.17452910893,17531.90371703762,513.3524471906667,246438.8974123144,39561.34458484364,1331.0864746030652,89946.57596893974,4427.389156438485,3905.377065905573,8089.7997442468,729613.4967618807,447.0785038300073,4357.501602510184,8807.00377676898,132965.99123050662,16969.808220996747,4077378.2307227543,1.2997841084885144
2:00 a.m.,15444.88897774906,46965.404752546325,1036.414438091178,73980.93640885691,4758.205437389061,3917.2026878757392,23259.688074542333,2556584.241349243,89838.20020696109,18479.23126036938,541.6020919659153,217047.0587022465,39561.34458484363,1324.9172925979835,88927.78195174698,4427.389156438486,3905.377065905573,8089.799744246801,727300.2813953264,447.0785038300072,4357.501602510184,7713.674972237777,132965.99123050665,16969.808220996747,4087844.0201090225,1.3031203863507348
2:15 a.m.,14931.235396344293,40291.19625435207,773.2963839456835,79879.18714775464,5820.997604871363,3372.8903879841087,23169.61638951565,2512072.470033349,88593.2788113658,18326.84107057631,538.3058931373423,189932.07950646823,39180.42608169879,1271.7467569262155,79724.32277414513,4496.015202173113,4761.43652611732,9751.458336924246,716336.3997416267,447.0785038300074,4357.501602510185,6935.796464982254,131037.14520241304,8963.268017530965,3984963.990090542,1.2703243540642872
2:30 a.m.,14846.226021617247,34428.18635725085,639.4788502681735,75011.33630143128,4568.922237003596,2807.8323823788182,23169.61638951565,2593426.6206998792,91330.24698831144,19209.27012141665,565.7823554713211,165508.16586691194,39180.42608169879,1270.941019434787,79453.41592424912,4496.015202173113,4761.43652611732,9751.458336924246,714865.8392933807,447.0785038300074,4357.501602510185,6194.54238915531,131037.14520241304,8963.268017530965,4030290.752670874,1.284773591382333
